location,date,am.weather,pm.weather,growth_stage,plotid,block,treatment,row,sample,am.absent,am.partial,am.predators,pm.absent,pm.partial,pm.predators,to.predated,n.predated,d.predated
PA,6/22/2022,22.7,26.1,V3,101,1,1,6,1,0,1,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,101,1,1,6,2,0,1,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,101,1,1,6,3,0,1,beetle,0,1,beetle,1,1,1
PA,6/22/2022,22.7,26.1,V3,101,1,1,11,4,1,na,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,101,1,1,11,5,1,na,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,101,1,1,11,6,na,na,na,na,na,na,0,0,0
PA,6/22/2022,22.7,26.1,V3,102,1,3,6,1,0,0,na,0,0,na,0,0,0
PA,6/22/2022,22.7,26.1,V3,102,1,3,6,2,0,1,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,102,1,3,6,3,0,0,na,0,0,na,0,0,0
PA,6/22/2022,22.7,26.1,V3,102,1,3,11,4,0,1,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,102,1,3,11,5,0,0,na,0,0,fly,0,0,0
PA,6/22/2022,22.7,26.1,V3,102,1,3,11,6,0,1,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,103,1,2,6,1,1,na,na,0,1,beetle,1,1,1
PA,6/22/2022,22.7,26.1,V3,103,1,2,6,2,0,1,na,0,1,beetle,1,1,1
PA,6/22/2022,22.7,26.1,V3,103,1,2,6,3,1,na,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,103,1,2,11,4,1,na,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,103,1,2,11,5,0,1,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,103,1,2,11,6,1,na,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,104,1,4,6,1,1,na,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,104,1,4,6,2,1,na,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,104,1,4,6,3,0,1,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,104,1,4,11,4,0,0,na,0,0,na,0,0,0
PA,6/22/2022,22.7,26.1,V3,104,1,4,11,5,1,na,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,104,1,4,11,6,0,1,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,201,2,3,6,1,0,1,na,0,1,opiliones,1,1,1
PA,6/22/2022,22.7,26.1,V3,201,2,3,6,2,0,1,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,201,2,3,6,3,0,1,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,201,2,3,11,4,1,na,na,na,na,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,201,2,3,11,5,0,1,beetle,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,201,2,3,11,6,na,na,na,0,1,"opiliones, millipede",1,1,0
PA,6/22/2022,22.7,26.1,V3,202,2,4,6,1,0,0,na,0,0,na,0,0,0
PA,6/22/2022,22.7,26.1,V3,202,2,4,6,2,0,1,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,202,2,4,6,3,0,1,na,1,na,"opiliones, beetle",1,1,1
PA,6/22/2022,22.7,26.1,V3,202,2,4,11,4,0,0,na,0,1,na,1,1,0
PA,6/22/2022,22.7,26.1,V3,202,2,4,11,5,0,0,na,0,0,na,0,0,0
PA,6/22/2022,22.7,26.1,V3,202,2,4,11,6,0,1,beetle,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,203,2,1,6,1,1,na,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,203,2,1,6,2,0,1,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,203,2,1,6,3,0,1,ant,0,1,ant,1,1,1
PA,6/22/2022,22.7,26.1,V3,203,2,1,11,4,1,na,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,203,2,1,11,5,0,1,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,203,2,1,11,6,0,1,ant,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,204,2,2,6,1,0,1,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,204,2,2,6,2,1,na,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,204,2,2,6,3,1,na,na,0,1,cricket,1,1,1
PA,6/22/2022,22.7,26.1,V3,204,2,2,11,4,1,na,na,1,na,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,204,2,2,11,5,1,na,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,204,2,2,11,6,1,na,na,0,1,na,1,1,1
PA,6/22/2022,22.7,26.1,V3,301,3,4,6,1,1,na,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,301,3,4,6,2,1,na,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,301,3,4,6,3,1,na,na,0,1,spider,1,1,1
PA,6/22/2022,22.7,26.1,V3,301,3,4,11,4,1,na,na,0,0,na,1,0,1
PA,6/22/2022,22.7,26.1,V3,301,3,4,11,5,1,na,na,0,1,ant,1,1,1
