location,date,n.weather,d.weather,growth_stage,plot_id,rep.block,treatment,row,sample,n.absent,n.partial,n.predated,d.absent,d.partial,d.predated,to.predated
PA,6/16/2021,15.28,18.44,V3,101,1,1,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,11,6,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,102,1,3,6,7,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,102,1,3,6,8,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,102,1,3,6,9,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,102,1,3,11,10,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,102,1,3,11,11,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,102,1,3,11,12,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,6,13,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,6,14,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,6,15,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,103,1,2,11,16,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,103,1,2,11,17,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,11,18,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,6,19,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,6,20,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,6,21,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,11,22,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,11,23,1,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,11,24,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,6,25,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,6,26,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,6,27,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,11,28,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,11,29,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,11,30,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,6,31,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,6,32,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,202,2,4,6,33,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,11,34,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,11,35,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,11,36,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,6,37,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,6,38,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,6,39,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,11,40,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,203,2,1,11,41,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,203,2,1,11,42,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,6,43,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,204,2,2,6,44,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,6,45,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,11,46,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,204,2,2,11,47,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,11,48,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,301,3,4,6,49,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,6,50,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,6,51,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,11,52,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,11,53,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,11,54,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,6,55,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,302,3,2,6,56,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,6,57,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,11,58,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,302,3,2,11,59,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,11,60,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,6,61,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,6,62,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,6,63,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,11,64,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,11,65,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,11,66,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,6,67,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,6,68,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,304,3,1,6,69,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,11,70,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,304,3,1,11,71,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,11,72,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,401,4,1,6,73,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,401,4,1,6,74,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,401,4,1,6,75,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,401,4,1,11,76,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,401,4,1,11,77,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,401,4,1,11,78,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,6,79,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,6,80,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,402,4,3,6,81,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,11,82,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,402,4,3,11,83,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,11,84,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,403,4,2,6,85,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,6,86,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,6,87,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,11,88,0,0,0,0,1,1,1
