location,date,am.weather,pm.weather,growth_stage,plotid,block,treatmetn,row,sample,am.absent,am.partial,am.predators,pm.absent,pm.partial,pm.predators
VT,6/9/2023,10.56,15.56,V3,101,1,4,6,1,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,101,1,4,6,2,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,101,1,4,6,3,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,101,1,4,11,4,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,101,1,4,11,5,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,101,1,4,11,6,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,102,1,1,6,1,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,102,1,1,6,2,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,102,1,1,6,3,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,102,1,1,11,4,0,0,ants,0,1,na
VT,6/9/2023,10.56,15.56,V3,102,1,1,11,5,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,102,1,1,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,103,1,3,6,1,0,0,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,103,1,3,6,2,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,103,1,3,6,3,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,103,1,3,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,103,1,3,11,5,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,103,1,3,11,6,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,104,1,2,6,1,1,0,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,104,1,2,6,2,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,104,1,2,6,3,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,104,1,2,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,104,1,2,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,104,1,2,11,6,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,201,2,3,6,1,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,201,2,3,6,2,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,201,2,3,6,3,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,201,2,3,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,201,2,3,11,5,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,201,2,3,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,202,2,4,6,1,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,202,2,4,6,2,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,202,2,4,6,3,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,202,2,4,11,4,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,202,2,4,11,5,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,202,2,4,11,6,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,203,2,2,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,203,2,2,6,2,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,203,2,2,6,3,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,203,2,2,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,203,2,2,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,203,2,2,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,204,2,1,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,204,2,1,6,2,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,204,2,1,6,3,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,204,2,1,11,4,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,204,2,1,11,5,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,204,2,1,11,6,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,301,3,1,6,1,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,301,3,1,6,2,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,301,3,1,6,3,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,301,3,1,11,4,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,301,3,1,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,301,3,1,11,6,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,302,3,2,6,1,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,302,3,2,6,2,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,302,3,2,6,3,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,302,3,2,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,302,3,2,11,5,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,302,3,2,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,303,3,4,6,1,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,303,3,4,6,2,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,303,3,4,6,3,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,303,3,4,11,4,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,303,3,4,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,303,3,4,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,304,3,3,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,304,3,3,6,2,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,304,3,3,6,3,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,304,3,3,11,4,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,304,3,3,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,304,3,3,11,6,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,401,4,2,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,401,4,2,6,2,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,401,4,2,6,3,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,401,4,2,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,401,4,2,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,401,4,2,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,402,4,1,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,402,4,1,6,2,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,402,4,1,6,3,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,402,4,1,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,402,4,1,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,402,4,1,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,403,4,3,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,403,4,3,6,2,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,403,4,3,6,3,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,403,4,3,11,4,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,403,4,3,11,5,0,0,na,0,0,na
